"Senior Officials Name
(Firstname and Surname of PermSecs or SCS2/3 Official, exclude titles, honorifics or post nominals e.g. Sir, Captain, MBE, PhD)  ","Start date of trip
(Use the date format: 
YYYY-MM-DD i.e. 2017-11-01)","Duration of Visit (Days)
(Include number of days for the visit,
from departure to arrival)","Destination
(Include trip destination for both domestic and international journeys, e.g. Manchester, UK or Brussels, Belgium)","Purpose of trip
(State a clear purpose, e.g. site visit to locally based staff; Senior Leadership meeting; please avoid abbreviations or acronyms)","Mode of transport
(State if either Rail, Car, Air, Sea, Taxi)
","Class of travel
(i.e. Standard, Economy, Business, First or other)","Accommodation/Meals (£)
(Please include any associated costs relating to accommodation or meals)","Other (including hospitality given)
(State Nil Return if none received)","Total cost, including all visas, accommodation, travel, meals etc. (£)
(This amount should reflect the total cost of the trip, including all visas, additional travel meals etc.)",Total Cost of Use of Official Secure Car (state cost except where officials are accompanying a Minister or Nil Return when not used)
Claire McGuckin,14/12/2022,1,"London, UK",Women in Leadership Event,Rail,Standard,Nil Return,Nil Return,43,Nil Return
Claire McGuckin,19/12/2022,2,"Birmingham, UK",Senior Leadership meetings,Rail,Standard,90,Nil Return,186.75,Nil Return
Claire Walsh,10/10/2022,1,"Liverpool, UK",Customer Insights and Design Roadshows,Rail,Standard,87,Nil Return,254,Nil Return
Colin Casse,04/10/2022,3,"London, UK",Official visits and SCS1 interviews,"Rail, Underground",Standard,29.19,Nil Return,307.49,Nil Return
Colin Casse,10/10/2022,3,"London, Manchester, UK",Senior Civil Service interviews & official visits,"Rail, Underground",Standard,75.8,Nil Return,430.8,Nil Return
Colin Casse,02/11/2022,1,"London, UK",Public Sector Proptec Conference,Rail,Standard,Nil Return,Nil Return,72,Nil Return
Colin Casse,21/11/2022,2,"Oxford, UK",Major Projects Leadership Academy,Car,Private,Nil Return,Nil Return,290.6,Nil Return
Colin Casse,28/11/2022,4,"Nottingham, UK",Official visits and senior meetings,Rail,Standard,61.15,Nil Return,454.15,Nil Return
Colin Casse,05/12/2022,2,"Cardiff, UK",Site visits,Rail,Standard,32.04,Nil Return,238.04,Nil Return
Colin Casse,08/12/2022,1,"London, UK",Smart Asset Conference,Rail,Standard,Nil Return,Nil Return,72,Nil Return
Colin Casse,12/12/2022,3,"Birmingham, UK",Senior Meetings,Car,Private,56.79,Nil Return,248.68,Nil Return
Craig Ogilvie,06/10/2022,1,"London, UK",Senior leader meeting,"Air, Taxi, Rail","Economy, Standard",Nil Return,Nil Return,178.98,Nil return
Craig Ogilvie,20/10/2022,2,"Belfast, UK",Transformation Senior Leader Meeting,"Air, Taxi",Economy,114.75,Nil Return,260.08,Nil return
Craig Ogilvie,01/11/2022,1,"London, UK",Major Projects Leadership Academy session,"Air, Rail","Economy, Standard",Nil Return,Nil Return,182.1,Nil return
Craig Ogilvie,17/11/2022,2,"London, UK",Transformation Senior Leader Meeting,"Air, Taxi, Rail",Economy,175.4,Nil Return,433.88,Nil return
Craig Ogilvie,29/11/2022,1,"Manchester, UK",Data & International Transformation meeting,Rail,Standard,Nil Return,Nil Return,90,Nil return
Craig Ogilvie,12/12/2022,1,"Telford, UK",Workshop,Car,Private,Nil Return,Nil Return,167.94,Nil return
Craig Ogilvie,12/12/2022,1,"Manchester, UK",Team Event,Rail,Standard,Nil Return,Nil Return,43,Nil return
