Senior Officials Name,Start date of trip,Duration of Visit (Days )Please round this up to the no of days,"Destination - Format must be City, Country","Purpose of trip - Please clearly state the purpose of each trip in detail, ie External meeting must be External meeting with ABC INCORPORATED",Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given) - Any other costs of the trip,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Lynda Rawsthorne,29/11/2022,1,"Birmingham,UK",Working with team members in Birmingham office,Rail,Standard,Nil Return,Nil Return,21.75,Nil Return
Lynda Rawsthorne,06/12/2022,2,"York,UK",Attended Connected Leaders Conference,Rail,Standard,Nil Return,Nil Return,9.6,Nil Return
Lynda Rawsthorne,06/12/2022,1,"Leeds,UK",Working with team members in Birmingham office,Rail,Standard,Nil Return,Nil Return,73.05,Nil Return
Lynda Rawsthorne,07/12/2022,1,"London,UK",Return from conference in York,Rail,Standard,Nil Return,Nil Return,39.05,Nil Return
Marianthi Leontaridi,28/10/2022,1,"Manchester,UK ",Visit to MAG,Rail,Standard,Nil Return,Nil Return,144.1,Nil Return
Marianthi Leontaridi,02/11/2022,2,"Paris,France",ECAC Coordinating Committee meeting ,Train,Standard,196.24,30,484.81,Nil Return
Marianthi Leontaridi,14/11/2022,4,"Sharm El Sheikh,Egypt",COP27,Air ,Standard,1278.19,30,2193.94,Nil Return
Marianthi Leontaridi,17/11/2022,1,"Luton,UK","Accomodation after late arrival back into the country, journey to office in the morning for interviews",Taxi,Standard,80,Nil Return,179.27,Nil Return
Marianthi Leontaridi,06/12/2022,2,"Paris,France",159th meeting of the ECAC DGCAs,Train,Standard,291.02,Nil Return,570.02,Nil Return
Marianthi Leontaridi,08/12/2022,1,"London,UK",Civil Service Awards,Taxi,Standard,Nil Return,Nil Return,15,Nil Return
Matthew Lodge,12/10/2022,2,"Exeter,UK","Restoring Your Railway Event, Devon County Council, Exeter - Return train and accommodatoin",Rail,Standard,89.86,Nil Return,231.41,Nil Return
Matthew Lodge,01/11/2022,2,"Leeds,UK","Directorate Leadership event, DfT offices, Leeds",Rail,Standard,85,Nil Return,257.05,Nil Return
