name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude
Music Room London,Lewisham,www.musicroomlondon.com,1.00E+11,E09000023,Telegraph Hill,E05000453,116-118 New Cross Road,Lewisham,,535627.0001,177020.0001,-0.046859451,51.47537538
Abbey Music Studios,Greenwich,www.abbeymusicstudios.co.uk,10010234363,E09000011,Abbey Wood,E05000214,Goldie Leigh Hospital Lodge Hill,Greenwich,,547040.0001,177554.0001,0.117603433,51.4773226
Husky Studios,Southwark,www.huskystudios.co.uk,2.00E+11,E09000028,Newington,E05011105,29a Amelia Street,Southwark,,532116.0001,178449.0001,-0.096855661,51.48904959
Rogue Studios,Southwark,www.roguestudios.co.uk,2.00E+11,E09000028,South Bermondsey,E05011116,Railway Arch 4 Bermondsey Trading Estate,Rotherhithe New Road,Southwark,535118.0001,178495.0001,-0.053620474,51.48875353
The Boogie Trap,Hounslow,www.theboogietrap.com,10091857586,E09000018,Turnham Green,E05000365,111 Power Road,Hounslow,,519558.0001,178694.0001,-0.277579391,51.49404707
Arch Studios,Hounslow,www.archstudios.co.uk,0,E09000018,Chiswick Homefields,E05000348,Arch 196 Prebend Gardens,Stamford Brook,,521792.0001,178785.0001,-0.245379786,51.49438807
Music Bank,Southwark,www.musicbank.org,2.00E+11,E09000028,North Bermondsey,E05011106,Block C-D Unit Tower Bridge Business Complex,100,Clements Road,534619.0001,178960.0001,-0.060626774,51.49305169
Bell Studios,Ealing,www.bellstudios.co.uk,12098715,E09000009,South Acton,E05000188,42891 Greenock Road,Ealing,,520015.0001,179137.0001,-0.270848107,51.49793209
Vine Yard Studios,Southwark,www.vineyardstudios.co.uk,0,E09000028,Borough & Bankside,E05011095,Virama House 8c Vine Yard,,,532392.0001,179711.0001,-0.092408684,51.50032728
The Miller Pub,Southwark,http://www.themiller.co.uk/rehearsal-studio,2.00E+11,E09000028,London Bridge & West Bermondsey,E05011104,96 Snowsfields,Southwark,,532834.0001,179859.0001,-0.085988133,51.50155371
Hive London Bridge,Southwark,https://londonbridgehive.org/,0,E09000028,London Bridge & West Bermondsey,E05011104,1 Melior Placelondon ,,,533053.2755,179882.3421,-0.082821678,51.50171191
Big Baggy Bounce,Ealing,www.bigbaggybounce.com,12149809,E09000009,Southfield,E05000191,54-58 Stanley Gardens,Ealing,,521091.0001,179910.0001,-0.255087615,51.50465056
Cartel Studios,Ealing,http://www.cartelstudios.co.uk/,12117050,E09000009,Southfield,E05000191,203-205 The Vale,Ealing,,520926.0001,180017.0001,-0.257427375,51.50564765
Bush Studios,Hammersmith And Fulham,www.bushstudios.co.uk,34156724,E09000013,Shepherd's Bush Green,E05000263,151 Railway Arches,Macfarlane Road,Hammersmith And Fulham,523214.0001,180215.0001,-0.224404426,51.50693299
Neville Marriner Rehearsal Room At St. Martin-In-The-Fields,City Of Westminster,http://www.stmartin-in-the-fields.org/venue-hire/rehearsal-space/,1.00E+11,E09000033,St. James's,E05000644,5 St. Martin's Place,City Of Westminster,,530113.0001,180577.0001,-0.124907408,51.50863992
Kluster Rooms,Tower Hamlets,www.klusterrooms.com,6025305,E09000030,Shadwell,E05009332,566 Cable Street,Tower Hamlets,,535879.0001,180959.0001,-0.041715929,51.51071574
The Music Studios,City Of Westminster,www.themusicstudios.co.uk,1.00E+11,E09000033,Marylebone High Street,E05000641,29 Marylebone Lane,City Of Westminster,,528410.0001,181372.0001,-0.149146292,51.51617486
Bloomsbury Central Baptist Church,Camden,http://www.bloomsbury.org.uk/roomhire,0,E09000007,Holborn And Covent Garden,E05000138,235 Shaftesbury Ave London,,,530116.8815,181373.4175,-0.124557504,51.51579696
Westbourne Rehearsals,City Of Westminster,www.westbournerehearsals.com,10033530632,E09000033,Westbourne,E05000648,Rear Of 92-98 Bourne Terrace,City Of Westminster,,525622.0001,181773.0001,-0.189166684,51.52040602
Footes Practice Room,Camden,http://www.footesmusic.com/practice-room-i33,5013080,E09000007,Bloomsbury,E05000129,41 Store Street,Camden,,529794.0001,181786.0001,-0.129056714,51.51957941
Survival Studios,Ealing,www.survivalstudios.co.uk,12150052,E09000009,East Acton,E05000175,Unit B12-B20 Acton Business Centre,School Road,Ealing,520914.0001,182196.0001,-0.256852566,51.52523576
Panic Music,Ealing,www.panic-music.co.uk,0,E09000009,East Acton,E05000175,14 Trading Estate Road ,,,520195.0001,182249.0001,-0.267194772,51.52586566
Peregrine's Pianos,Camden,www.peregrines-pianos.com,5076021,E09000007,Holborn And Covent Garden,E05000138,137a Gray's Inn Road,Camden,,530803.0001,182263.0001,-0.114343599,51.5236337
Arch3 Studios,Newham,www.arch3studios.uk,10023994437,E09000025,Canning Town North,E05000477,Unit 3 The Arches,Cranberry Lane,Newham,539183.0001,182348.0001,0.006418797,51.52239429
Soundstage Studio,Ealing,http://soundstagestudios.co.uk/,12017372,E09000009,East Acton,E05000175,Unit 1 Acorn Centre 30-34,Gorst Road,Ealing,520523.0001,182352.0001,-0.262433209,51.52672154
Engine Rooms Rehearsal Studios,Tower Hamlets,www.engineroomsstudios.com,6074717,E09000030,Bromley North,E05009321,30 Bow Triangle Business Centre,Eleanor Street,Tower Hamlets,537239.0001,182406.0001,-0.021564604,51.52339135
