Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-14,Meeting with C2C Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-15,Meeting with West Midlands Trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-15,Meeting with London North Eastern Railway,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-15,Meeting with Southeastern,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-15,Meeting with Brompton Bike Hire, An update on Brompton’s Wheels for Heroes scheme and The Government’s recent Active Travel funding announcements,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-18,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-18,"Trades Union Congress (TUC); National Union of Rail, Maritime and Transport Workers (RMT); Associated Society of Locomotive Engineers and Firemen (ASLEF); Transport Salaried Staffs' Association (TSSA); Unite the Union; Prospect; Nautilus International; British Airline Pilots Association (BALPA); General, Municipal, Boilermakers (GMB)",To discuss response to Covid-19,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-19,Meeting with Great Western Railway,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-20,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-21,Meeting with Transpennine Express,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-21,Transport Accessibility Roundtable,To discuss the impact of covid 19 on disabled people ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-21,Meeting with Northern Rail,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-21,Meeting with  GB Railfreight,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
