District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
"NEWRY, MOURNE AND DOWN",BURREN,2007,URBAN,23,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2008,URBAN,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2009,URBAN,9,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2010,URBAN,7,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2011,URBAN,7,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2012,URBAN,12,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2013,URBAN,23,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2014,URBAN,17,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2015,URBAN,20,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2016,URBAN,12,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2017,URBAN,31,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2018,URBAN,18,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2019,URBAN,23,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2020,URBAN,25,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2021,URBAN,20,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2022,URBAN,27,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2023,URBAN,25,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2005,URBAN,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2006,URBAN,5,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2007,URBAN,2,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2008,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2009,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2010,URBAN,2,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2011,URBAN,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2012,URBAN,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2013,URBAN,2,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2014,URBAN,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2015,URBAN,4,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2016,URBAN,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2017,URBAN,4,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2018,URBAN,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2019,URBAN,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2020,URBAN,2,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2021,URBAN,2,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2022,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CAMLOUGH,2023,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2005,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2006,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2007,URBAN,0,0,0,0,0,0,0
