ArrivalAtBip,CountryOfOriginName,CountryFromWhereConsigned,BCPName,CommodityCode,CommodityGroups,CommodityDescription,SpeciesNomination,GrossWeightKg,NetWeightKg,NumberOfPackages,Temperature,ForInternalMarket,DocumentaryCheck,IdentityCheckType,IdentityCheckResult,PhysicalCheck,PhysicalCheckDone,PhysicalCheckNotDone,LabTestDate,LabTestName,LabTestResult
2021-01-23,United States,United States,Liverpool,3031200,Fish & fish products,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",Oncorhynchus gorbuscha,11105.88,10685.88,21,frozen,HumanConsumption,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-23,United States,United States,Liverpool,3031100,Fish & fish products,Sockeye salmon (red salmon) (Oncorhynchus nerka),Oncorhynchus nerka,11105.88,10685.88,21,frozen,HumanConsumption,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-23,United States,United States,Liverpool,3031100,Fish & fish products,Sockeye salmon (red salmon) (Oncorhynchus nerka),Oncorhynchus nerka,11105.88,10685.88,21,frozen,HumanConsumption,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-23,United States,United States,Heathrow,300120,Pharmaceutical products,Extracts of glands or other organs or of their secretions,Otra,18,1,1,chilled,TechnicalUse,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-23,Thailand,Thailand,London Gateway,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,22005.28,21120,88,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-23,Thailand,Thailand,London Gateway,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,22005.28,21120,88,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-25,Turkey,Turkey,Felixstowe,3028410,Fish & fish products,European sea bass (Dicentrarchus labrax),Dicentrarchus labrax,17053.45,11761,2004,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-25,Turkey,Turkey,Felixstowe,3028530,Fish & fish products,Gilt-head sea bream (Sparus aurata),Sparus aurata,17053.45,11761,2004,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-25,Turkey,Turkey,Felixstowe,3044990,Fish & fish products,Other,Dicentrarchus labrax,17053.45,11761,2004,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-25,Turkey,Turkey,Felixstowe,3044990,Fish & fish products,Other,Sparus aurata,17053.45,11761,2004,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
