Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Control Accounts,9325,Bramshot Farm SAMM Cntribution,07/10/2021,80015160,526,Control Accounts,Hampshire County Council,1206
Rushmoor Borough Council,Strategy and Communiations,1417,Afghan Relocation Scheme,07/10/2021,80015163,269.6,Revenue,Redacted personal data,16537
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,04/10/2021,80015164,517,Revenue,Rachel Stockley,16260
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,07/10/2021,80015167,3645,Capital,Whitehouse Building Specialists,16552
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,05/10/2021,80015168,500,Revenue,Redacted personal data,16553
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,07/10/2021,80015169,500,Revenue,Redacted personal data,16554
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,06/10/2021,80015170,313,Revenue,Bridges Estate Agents,14004
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,14/10/2021,80015174,4215.62,Capital,Top Notch Building Services,9540
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Discretionary Payments,11/10/2021,80015175,500,Revenue,Redacted personal data,16559
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Discretionary Payments,08/10/2021,80015180,500,Revenue,Redacted personal data,16557
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,08/10/2021,80015181,500,Revenue,Redacted personal data,16563
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,14/10/2021,80015182,3271,Capital,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Chief Executive,1100,Consult Games Digital Hub,14/10/2021,80015184,5412.16,Revenue,P&W Insurance Group,15923
Rushmoor Borough Council,Customer Services,3811,Rent Allowances,14/10/2021,80015185,275,Revenue,Tlp Ltd,16566
Rushmoor Borough Council,Strategy and Communiations,1417,Afghan Relocation Scheme,14/10/2021,80015187,268.4,Revenue,Redacted personal data,16537
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,21/10/2021,80015191,15000,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Community,2565,Promotions,21/10/2021,80015193,524,Revenue,Gazebo Land Ltd,16547
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,13/10/2021,80015199,500,Revenue,Redacted personal data,16574
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,13/10/2021,80015200,500,Revenue,Redacted personal data,16575
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,13/10/2021,80015201,500,Revenue,Redacted personal data,16576
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,15/10/2021,80015202,900,Control Accounts,Fosters Lettings Agents Ltd,14181
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,14/10/2021,80015203,355,Revenue,Bridges Estate Agents,14004
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,21/10/2021,80015204,4935,Capital,R H Collings & Son,12238
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,21/10/2021,80015205,5074,Capital,A And E Builders,15180
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,21/10/2021,80015206,1435,Capital,Liftech Systems Ltd,14344
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,21/10/2021,80015207,8400,Capital,Kemp Builders,14974
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,21/10/2021,80015209,4325,Capital,K & P Installations,16577
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,18/10/2021,80015210,366.58,Revenue,Fosters Lettings Agents Ltd,14181
Rushmoor Borough Council,Environmental Health and Housing,2402,Rent Deposits,18/10/2021,80015211,644.86,Revenue,David And Nicola Wilson,15039
Rushmoor Borough Council,Community,2513,Direct Grants,21/10/2021,80015212,500,Revenue,St Bernadettes Primary School,10033
Rushmoor Borough Council,Strategy and Communiations,1415,Apprenticeship Levy,21/10/2021,80015213,3094,Revenue,Hm Revenue & Customs,489
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,21/10/2021,80015220,4405,Capital,Adaptec Mobility,15990
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,21/10/2021,80015221,1415,Capital,Handicare Accessibility Ltd,13797
Rushmoor Borough Council,Community,2513,Direct Grants,21/10/2021,80015225,1434,Revenue,Defib World,16580
Rushmoor Borough Council,Community,2518,Agency Sales,21/10/2021,80015226,7476,Revenue,Dance Design Events Ltd,15620
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,19/10/2021,80015228,500,Revenue,Redacted personal data,16188
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,20/10/2021,80015229,1000,Control Accounts,Bridges Estate Agents,14004
Rushmoor Borough Council,Holding Accounts,9421,LRSG Grant Repayment,21/10/2021,80015231,515142,Holding Accounts,Department For Business,16582
Rushmoor Borough Council,Holding Accounts,9421,LRSG Grant Repayment,21/10/2021,80015231,5969.9,Holding Accounts,Department For Business,16582
Rushmoor Borough Council,Holding Accounts,9421,LRSG Grant Repayment,21/10/2021,80015231,1552000,Holding Accounts,Department For Business,16582
Rushmoor Borough Council,Holding Accounts,9421,LRSG Grant Repayment,21/10/2021,80015231,899624.75,Holding Accounts,Department For Business,16582
Rushmoor Borough Council,Holding Accounts,9421,LRSG Grant Repayment,21/10/2021,80015231,65243.02,Holding Accounts,Department For Business,16582
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,21/10/2021,80015232,500,Revenue,Redacted personal data,16583
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,21/10/2021,80015233,500,Revenue,Redacted personal data,16584
Rushmoor Borough Council,Control Accounts,9335,Rent Deposit,25/10/2021,80015240,700,Control Accounts,Accent Housing Limited,12833
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE New Website,25/10/2021,80015242,1595,Revenue,Umbraco A/S,16590
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,25/10/2021,80015243,16200,Capital,Kemp Builders,14974
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,28/10/2021,80015250,500,Revenue,Redacted personal data,16595
Rushmoor Borough Council,Personnel & Payroll,1415,Health Care,07/10/2021,57,1093.19,Revenue,National Deposit,DD1
Rushmoor Borough Council,Customer Services,1327,Telephones,28/10/2021,60,396.38,Revenue,Southern Communities,DD2
Rushmoor Borough Council,Community,2518,Access/Cardnet,20/10/2021,38,463.64,Revenue,Spektrix,DD3
Rushmoor Borough Council,Community,2518,Princes Hall Spektrix,19/10/2021,82,880.15,Revenue,Spektrix,DD4
Rushmoor Borough Council,Information Technology,3302,Application Software,26/10/2021,70,830.55,Revenue,Bottomline Technologies,DD5
Rushmoor Borough Council,Financial Services,3403,Bank Charges,02/10/2021,35,725.13,Revenue,Lloyds Bank,DD6
Rushmoor Borough Council,Financial Services,3805,Girobank Fees,30/10/2021,58,519.9,Revenue,Santander,DD7
