"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Directors Office","POSN001138","A","47073","58207","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Directors Office","POSN001138","B","30955","44558","Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Directors Office","POSN001138","C","23826","27397","Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Directors Office","POSN001138","D","21216","23314","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Economic Security","POSN005463","A","47073","58207","Senior Policy Adviser","8.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Economic Security","POSN005463","A(U)","53328","68310","Senior Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Economic Security","POSN005463","B","30955","44558","Policy Adviser","6.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","International Strategy","POSN004570","A","47073","58207","Senior Policy Adviser","12.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","International Strategy","POSN004570","A(U)","53328","68310","Senior Policy Adviser","4.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","International Strategy","POSN004570","B","30955","44558","Policy Adviser","13.80","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","International Strategy","POSN004570","C","23826","27397","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Creative Economy","POSN001253","A","47073","58207","Senior Policy Adviser","6.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Creative Economy","POSN001253","A(U)","53328","68310","Senior Policy Adviser","1.74","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Creative Economy","POSN001253","B","30955","44558","Policy Adviser","11.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Film and TV Restart Scheme","POSN001253","A","47073","58207","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Film and TV Restart Scheme","POSN001253","A(U)","53328","68310","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Film and TV Restart Scheme","POSN001253","B","30955","44558","Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Media and Creative Industries","POSN001209","C","23826","27397","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Media: Radio, Press & International Media (M:RPIM)","POSN004085","A","47073","58207","Senior Policy Adviser","6.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Media: Radio, Press & International Media (M:RPIM)","POSN004085","A(U)","53328","68310","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Media: Radio, Press & International Media (M:RPIM)","POSN004085","B","30955","44558","Policy Adviser","6.00","Policy"
