Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,June     ,England,South East,Isle Of Wight,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,22
2015,June     ,England,North East,Northumberland,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,225
2015,June     ,England,North West,Cheshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,348
2015,June     ,England,West Midlands,West Midlands,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,1
2015,June     ,England,Yorkshire and the Humber,South Yorkshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,26
2015,June     ,England,North West,Merseyside,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,7
2015,June     ,England,South East,Greater London,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,3
2015,June     ,England,South East,Buckinghamshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,109
2015,June     ,England,South West,Avon,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,163
2015,June     ,England,North West,Greater Manchester,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,47
2015,June     ,England,North West,Lancashire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,288
2015,June     ,England,North East,Tyne & Wear,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,21
2015,June     ,England,South East,East Sussex,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,62
2015,June     ,England,Yorkshire and the Humber,Humberside,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,12
2015,June     ,England,North East,Durham,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,65
2015,June     ,England,Eastern,Hertfordshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,31
2015,June     ,England,North West,Cheshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,354
2015,June     ,England,South East,Isle Of Wight,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,19
2015,June     ,England,South West,Devon,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,575
2015,June     ,England,Eastern,Essex,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,25
2015,June     ,England,Eastern,Essex,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,29
2015,June     ,England,Eastern,Norfolk,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,155
2015,June     ,England,North West,Cumbria,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,360
2015,June     ,England,East Midland,Leicestershire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,119
2015,June     ,England,Eastern,Bedfordshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,28
2015,June     ,England,East Midland,Derbyshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,186
2015,June     ,England,East Midlands/Yorkshire and the Humber,Lincolnshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,25
2015,June     ,England,Eastern,Bedfordshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,20
2015,June     ,England,Yorkshire and the Humber,West Yorkshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,68
2015,June     ,England,East Midland,Nottinghamshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,48
