,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,M,3,5,2,2,3,3,1,4,8,5,6,7,6,7,7,1,3,3,2,3,6,5,3,0,1,2,0,2,0,0,4,4,0,2,0,0,34,40,36
DEXTER,Non Dairy,F,1,3,1,2,0,0,6,6,5,2,3,1,5,2,2,0,1,1,1,0,1,3,1,0,0,0,0,1,0,0,1,0,0,5,0,0,27,16,11
,,M,1,2,2,2,2,1,8,1,1,1,3,4,3,3,3,0,0,3,1,3,1,0,0,0,1,1,0,0,1,0,0,3,0,1,1,0,18,20,15
DEXTER X,Non Dairy,F,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
,,M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
FLECKVIEH,Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
FLECKVIEH CROSS,Dairy,F,5,2,1,0,0,3,2,1,0,0,0,1,0,1,2,4,1,2,0,2,4,0,1,0,0,0,0,0,4,0,1,5,0,0,5,0,12,22,13
,,M,1,1,3,1,0,4,4,2,1,0,0,1,0,0,1,4,1,0,1,0,5,2,0,0,3,2,0,0,3,0,0,12,0,0,4,0,16,25,15
FRISONA ESPAGNOLA,Dairy,F,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,M,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
GALLOWAY,Non Dairy,F,0,0,0,0,0,0,0,6,1,2,6,3,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,2,0,0,1,0,3,2,0,10,20,6
,,M,1,1,0,4,0,0,1,2,1,2,1,1,2,4,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,15,11,5
GALLOWAY X,Non Dairy,F,0,1,0,1,0,0,2,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,6,7,2
,,M,0,0,0,0,1,2,0,1,2,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,8,4,5
GASCONNE,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GASCONNE X,Non Dairy,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
,,M,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GELBVIEH,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
GELBVIEH X,Non Dairy,F,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,9,1
