Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.05.2021,16.06.2021,GPC05210000045,18.86
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.05.2021,16.06.2021,GPC05210000046,4.09
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.05.2021,16.06.2021,GPC05210000047,6.96
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.05.2021,16.06.2021,GPC05210000048,8.66
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.05.2021,16.06.2021,GPC05210000049,10.90
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.05.2021,16.06.2021,GPC05210000050,12.18
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.05.2021,16.06.2021,GPC05210000051,2.85
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,04.05.2021,16.06.2021,GPC05210000052,23.95
Stockport MBC,Corporate and Support Services,Central Services to the public,HOLIDAY INNS,Expenses and Allowances,Human Resources Travel & Subsistence ,07.05.2021,16.06.2021,GPC05210000053,44.10
Stockport MBC,Corporate and Support Services,Central Services to the public,BRITANNIA HOTEL,Furniture and Equipment,Environmental Services Technical Equipment ,05.05.2021,16.06.2021,GPC05210000054,200.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ROLI.COM,Furniture and Equipment,Environmental Services Technical Equipment ,06.05.2021,16.06.2021,GPC05210000055,490.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK 2T9XG7CT4,Library Equipment,Education Library Books ,19.05.2021,16.06.2021,GPC05210000056,11.99
Stockport MBC,Services to People,Childrens & Educational Services,CVAA UK LTD,Staff Training,Human Resources  ,19.05.2021,16.06.2021,GPC05210000057,45.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MK06Q3YB4,Library Equipment,Education Library Books ,18.05.2021,16.06.2021,GPC05210000058,11.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MK7OM6YP4,Library Equipment,Education Library Books ,19.05.2021,16.06.2021,GPC05210000059,11.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MK2DB5YK4,Library Equipment,Education Library Books ,19.05.2021,16.06.2021,GPC05210000060,11.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MK4ZO8Y14,Library Equipment,Education Library Books ,18.05.2021,16.06.2021,GPC05210000061,11.99
Stockport MBC,Services to People,Childrens & Educational Services,CVAA UK LTD,Staff Training,Human Resources  ,04.05.2021,16.06.2021,GPC05210000062,90.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,03.05.2021,16.06.2021,GPC05210000063,163.16
