Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
BEEF SHORTHORN X,Non Dairy,F,95,124,84,149,226,141,576,668,627,775,837,918,528,569,776,287,329,372,196,236,265,148,216,236,139,139,0,142,161,0,108,121,0,112,105,0,"3,255","3,731","3,419"
,,M,89,103,95,140,182,157,496,635,609,752,768,850,510,626,821,308,364,361,216,239,315,163,201,233,165,169,0,189,151,0,114,97,0,114,149,0,"3,256","3,684","3,441"
BEEFALO,Non Dairy,F,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,1,1,0,4,10,4
,,M,0,2,0,0,1,0,0,1,3,0,0,1,0,2,0,0,1,0,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2,12,5
BELGIAN BLUE,Non Dairy,F,392,0,0,383,0,0,530,0,0,686,0,0,629,0,0,540,0,0,473,0,0,411,0,0,30,0,0,0,0,0,0,0,0,0,0,0,"4,074",0,0
,,M,462,0,0,372,0,0,613,0,0,760,0,0,684,0,0,636,0,0,564,0,0,445,0,0,32,0,0,0,0,0,0,0,0,0,0,0,"4,568",0,0
BELGIAN BLUE X,Non Dairy,F,"4,428",0,0,"4,136",2,0,"7,522",1,0,"8,640",1,0,"7,261",2,0,"5,518",0,0,"4,702",0,0,"3,777",0,0,278,0,0,0,0,0,0,0,0,0,0,0,"46,262",6,0
,,M,"4,842",0,0,"4,458",0,0,"7,694",1,0,"9,027",0,0,"7,567",2,0,"5,773",0,0,"5,077",0,0,"4,362",0,0,285,0,0,2,0,0,0,0,0,0,0,0,"49,087",3,0
BELTED DUTCH,Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BELTED GALLOWAY,Non Dairy,F,44,58,65,37,58,93,109,133,157,147,206,211,177,238,228,161,176,145,116,106,134,66,90,88,95,151,0,87,95,0,80,52,0,43,52,0,"1,162","1,415","1,121"
,,M,32,65,80,38,56,85,89,135,158,156,185,195,192,203,236,194,148,159,117,95,151,78,74,113,116,146,0,82,104,0,66,58,0,51,57,0,"1,211","1,326","1,177"
BELTED GALLOWAY X,Non Dairy,F,15,27,17,22,29,15,42,41,44,78,79,68,83,51,65,41,37,41,32,30,50,16,21,57,28,31,0,27,26,0,23,19,0,16,19,0,423,410,357
,,M,18,21,18,21,21,23,40,51,58,73,85,76,78,70,87,37,47,44,36,31,33,26,32,52,26,31,0,22,30,0,22,23,0,12,14,0,411,456,391
BELTED WELSH BLACK,Non Dairy,F,4,0,0,1,1,3,0,3,3,3,4,7,0,5,2,4,1,7,2,1,3,1,2,0,0,2,0,0,1,0,0,2,0,5,0,0,20,22,25
,,M,1,0,0,1,1,4,0,6,3,1,2,7,3,4,1,3,4,6,7,1,2,1,3,3,0,1,0,1,5,0,0,3,0,2,0,0,20,30,26
BELTED WELSH BLACK X,Non Dairy,F,0,0,2,0,0,1,0,0,3,0,3,0,1,0,7,0,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,5,14
,,M,0,1,0,0,0,0,1,1,1,1,0,3,0,2,4,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,6,11
BISON,Non Dairy,F,0,3,1,0,0,0,0,0,0,3,5,6,7,17,11,5,9,6,6,6,2,0,0,2,4,2,0,2,1,0,1,0,0,0,0,0,28,43,28
,,M,2,4,2,0,0,0,0,0,0,4,11,5,17,17,17,12,8,5,9,4,0,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,47,50,29
BLONDE D'AQUITAINE,Non Dairy,F,177,151,169,152,174,193,390,365,394,550,563,503,476,489,463,327,319,288,209,207,179,164,160,157,141,164,0,139,146,0,124,142,0,96,140,0,"2,945","3,020","2,346"
,,M,152,157,155,153,168,172,380,316,397,520,505,500,423,491,471,346,336,297,206,197,185,155,165,147,149,169,0,131,146,0,126,138,0,115,112,0,"2,856","2,900","2,324"
BLONDE D'AQUITAINE X,Non Dairy,F,"1,122","1,194","1,106","1,452","1,582","1,447","4,309","4,168","4,015","5,099","4,962","4,991","3,854","3,867","3,825","2,638","2,557","2,288","1,640","1,733","1,623","1,225","1,274","1,239","1,155","1,364",0,"1,201","1,140",0,"1,124",944,0,907,903,0,"25,726","25,688","20,534"
,,M,"1,139","1,128","1,075","1,444","1,433","1,458","4,175","4,064","3,878","5,168","5,119","5,082","4,033","3,827","3,951","2,698","2,491","2,317","1,737","1,766","1,663","1,206","1,275","1,245","1,222","1,377",0,"1,188","1,128",0,"1,117",932,0,931,851,0,"26,058","25,391","20,669"
BLUE ALBION,Dairy,F,0,1,1,3,3,3,1,2,3,4,1,6,7,7,8,2,6,4,3,2,0,1,0,2,3,0,0,1,1,0,1,3,0,0,0,0,26,26,27
,,M,1,2,0,0,1,2,1,2,3,5,1,0,5,5,7,3,6,6,1,1,4,0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,18,22,23
BLUE ALBION X,Dairy,F,3,0,0,3,3,0,3,0,3,1,1,5,7,3,0,12,1,4,11,2,0,4,0,0,4,4,0,4,4,0,0,2,0,2,1,0,54,21,12
,,M,1,0,0,0,1,0,0,0,1,1,0,3,7,3,1,14,1,1,6,0,0,2,0,0,0,0,0,3,2,0,0,1,0,0,0,0,34,8,6
BLUE GREY,Non Dairy,F,3,9,4,7,21,17,82,76,91,162,132,124,136,144,156,54,86,86,16,50,69,16,48,36,23,17,0,24,28,0,18,25,0,9,2,0,550,638,583
,,M,5,12,1,12,21,11,70,66,107,124,114,126,128,126,122,55,70,66,21,30,59,16,43,25,15,15,0,11,16,0,21,13,0,8,3,0,486,529,517
BLUE GREY X,Non Dairy,F,1,14,3,0,23,10,3,15,11,0,18,18,0,32,23,0,24,11,2,16,8,3,10,8,9,22,0,18,2,0,14,9,0,15,11,0,65,196,92
,,M,0,16,2,0,23,10,1,16,8,0,17,12,0,27,14,5,25,11,4,12,10,3,10,9,15,29,0,20,11,0,18,14,0,17,12,0,83,212,76
BRAHMAN,Non Dairy,F,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,2
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0
BRAHMAN X,Non Dairy,F,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,1
,,M,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
BRETONNE PIE0NOIRE,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
,,M,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
BRITISH BLUE,Non Dairy,F,30,513,531,61,582,421,109,758,732,109,886,955,117,884,777,90,727,679,114,684,678,142,708,557,506,533,0,610,532,0,583,594,0,480,456,0,"2,951","7,857","5,330"
