Quarter_Year,Detached_Mean_Price,Detached_Median_Price,Detached_Standardised_Price,Semi_Detached_Mean_Price,Semi_Detached_Median_Price,Semi_Detached_Standardised_Price,Terrace_Mean_Price,Terrace_Median_Price,Terrace_Standardised_Price,Apartment_Mean_Price,Apartment_Median_Price,Apartment_Standardised_Price,All_Properties_Mean_Price,All_Properties_Median_Price,All_Properties_Standardised_Price
Q1 2014,172003.474144789,150000,159004.264673683,108930.715194909,100000,102074.721093749,75387.6394957984,65000,69867.6509617645,91499.2732919255,79600,79438.1625507304,117314.538748137,100000,103570.197501642
Q2 2014,180399.970629371,160000,164697.301823426,112598.989953114,107000,105413.619812092,78954.7362722352,69500,72162.230075485,92301.0971428571,85000,81716.9656113255,122749.914148051,109000,107030.74694537
Q3 2014,181414.701375246,162500,165944.756039634,115461.664977834,109950,107635.795037154,82154.0330882354,71500,73890.9090188763,95290.1666666667,85000,85406.5557619096,125289.716907216,111000,109116.250160727
Q4 2014,184337.757178527,162250,169123.47093203,115313.715585203,109950,109099.565236092,81201.125,72000,74769.748305303,102784.449074074,90000,86701.8837638456,126323.420723363,110000,110749.985506302
Q1 2015,176348.04954583,158000,168048.909073521,116902.738567073,110000,109267.689301137,81612.1981528127,72000,75440.3355181565,99590.5102040816,86000,87387.1888894387,123107.190369262,110000,110939.994630964
Q2 2015,185285.7960199,163500,173146.640655482,120113.795394737,115000,113011.266021287,82155.5973826022,75000,77181.6123612275,98495.0198019803,91914,91296.1111432576,127382.763066955,115000,114340.192037098
Q3 2015,194205.926060606,170000,177886.833499413,123831.633898305,117000,116058.383724768,90498.9758595465,79000,80103.2676284804,101726.904891304,94975,93018.13943193,135939.742192046,120000,117715.6372395
Q4 2015,189572.151758174,170000,180212.179951025,123692.878690284,116000,115598.301597015,89824.1698236448,79950,81667.4832493859,97467.6857142857,89600,93447.6463092795,131774.33725851,118000,118755.517278946
Q1 2016,191397.372691293,170000,180353.72615924,121183.351667642,116000,114367.065255905,86385.9034564958,75000,81781.9170237694,99593.5490566037,90000,97608.2694172161,127922.122584208,114950,118850.751519918
Q2 2016,188413.651857247,168000,183432.666897271,128783.774902975,122500,119842.031477864,92880.5319715808,84000,86146.1989612191,100777.676691729,95000,99131.847138657,136669.450475528,124500,123249.195529485
Q3 2016,198940.056179775,177000,187770.172365203,129845.209793815,124950,121794.158013321,90911.6324404761,80000,86397.0154406421,102197.248717949,92000,97516.2513000411,139860.112395154,125000,124730.537212977
Q4 2016,196946.083828775,175000,187806.438964575,127893.663546542,122500,120981.33855678,93470.9818435756,82250,86398.288370674,103984.599502488,95000,103214.889631783,138417.92296378,125000,125059.114165681
Q1 2017,194167.619047619,175000,188307.847403589,129061.784587379,124000,121752.847685548,89837.9248062015,81000,85587.9963616007,103407.096685083,95685,100276.36644282,134468.568665797,122500,124785.789434661
Q2 2017,196326.895683453,179225,190186.770701736,130571.836441129,125000,123237.484372997,93602.614023145,83500,88042.2718683898,110147.492682927,105000,105432.709927595,139236.598635693,127500,127178.499891291
Q3 2017,202260.319750991,180000,192717.768115357,134780.734027449,127000,125957.109688948,95098.2006472493,85000,89218.3315003687,104758.807106599,97000,103214.209499234,142702.76095549,128500,128877.913955428
Q4 2017,199609.477710512,179950,193284.320426593,133127.067089755,127150,125601.377099938,94573.4119537275,85000,90735.4420911342,105893.740659341,99500,104494.399149893,141151.24494531,129000,129601.391166164
Q1 2018,206895.322717622,183500,196723.362385783,133978.871420222,129000,125423.34114851,94450.3415007656,85500,90582.1605818088,106954.673076923,97500,105499.362066376,142650.101585315,129540,130291.685710231
Q2 2018,204518.170981337,182000,196107.111688103,136394.677015523,129950,127670.828217015,97756.551309271,88500,92859.3014498752,112629.128140704,103000,107981.285806669,145372.32620223,131000,132094.998832512
Q3 2018,211212.787292818,189950,200459.57078228,138518.315455875,130000,129900.757438674,100804.904792332,89000,95539.5145803701,109793.512820513,100000,106117.95841393,149067.28954608,132950,134619.3005255
Q4 2018,208674.534276387,186000,202731.263906398,139001.364651163,132125,132238.568353516,100582.548528491,90000,96306.4010791901,113652.491525424,104475,111595.812820517,148038.8036982,134500,136763.917544017
Q1 2019,211224.847707848,188000,200053.711474724,140600.401376147,134500,132515.307855752,100266.206924979,89000,94740.713035686,113740.234920635,106000,108730.500281261,147950.11230533,134500,135433.747071316
Q2 2019,215274.25739645,190493.5,203882.505212506,141227.737244898,135000,133538.875882784,100534.518064076,90000,95358.3194851394,113082.940721649,104975,110097.828518657,151131.730971843,136500,136960.03800043
Q3 2019,214292.263381028,193000,208901.498861582,143198.231977819,137500,135478.75550003,102208.126788036,91000,98211.505192496,117755.201877934,109000,110756.63794929,153218.668329177,139000,139837.618459411
Q4 2019,219315.018302829,195000,209021.247821215,144070.146869245,136725,136407.867616574,103970.802197802,92000,98444.0294761485,113563.586797066,103000,109364.943380157,153619.564596479,138000,140141.467829329
Q1 2020,216803.627303754,195000,209881.447684065,141840.500296736,135000,136705.024633691,103411.181376518,95000,98705.0895491874,115459.335164835,109000,111324.561942374,152949.792377343,137500,140722.479987574
Q2 2020,216815.429328622,195000,207758.4893995,142211.711621234,138500,136341.442689496,106180.836930456,95000,101058.74962091,111934.63963964,110000,109410.976472877,155522.75265215,142000,140841.264017071
Q3 2020,230625.865806452,205450,214919.646567632,151340.713270142,142500,139787.558632353,103737.171548117,94600,100291.716947155,117545.679867987,105000,113892.1811058,163115.599028716,145000,143722.97243828
Q4 2020,243697.036893204,220000,220592.113068823,155938.328159645,145000,142734.640786486,109822.034318902,100000,104594.134105373,117712.373362445,105000,112856.953524202,171807.177518669,150000,147474.561707401
Q1 2021,254103.850131463,225000,224872.989982164,157154.871195413,145000,144131.414379004,112083.338200935,98000,104620.71825672,123001.855913978,114950,115036.458009341,176214.334968778,150000,149084.306040289
Q2 2021,268767.761787619,235000,234734.715702706,163934.003252033,150000,147698.268780635,116566.051529791,104000,108436.425497126,126407.34914611,115000,119834.970401127,184192.817396076,154950,154323.13464295
Q3 2021,245489.776595744,225000,239214.767055845,162976.428519461,153000,153123.83049028,119485.70959596,110000,113950.467786734,122286.259856631,114000,118473.252384171,174118.189734189,156000,159097.519684944
Q4 2021,243320.83218232,220000,240119.262765464,158175.330786517,151040,153693.221565007,114356.505518764,106000,112883.104023073,118593.601134216,107500,117935.114950541,161991.798969072,145000,159073.045928672
Q1 2022,266930.686534217,239558,249517.71651858,163194.991479002,155000,157465.924515573,119138.406367041,110000,115230.92080214,124761.906614786,115000,123898.866129972,173090.17604533,150000,163876.874773827
Q2 2022,268791.801906059,242500,260124.80089848,168318.427027027,160000,163142.39008426,120800.43583815,110000,117562.669777115,131500.996161228,121500,127139.21410679,176899.184958217,155000,169295.500048559
Q3 2022,285896.243917275,255000,270264.394263845,176953.864164905,167000,169602.574753586,126039.177187154,115137.5,122514.936987181,134784.707317073,122000,129465.731390321,187962.066212766,163000,175793.430165598
Q4 2022,281919.273623189,253500,268075.695718363,176828.706705258,169100,169299.240780812,126229.043239951,115500,122523.345019904,132556.381147541,125000,128364.112933035,189749.03154521,167475,175123.512520828
Q1 2023,277702.925756187,249950,264292.251446775,176258.607370659,165000,166325.987986608,120601.193263833,110000,118970.803604308,128935.554945055,118500,125979.128822821,182104.793824459,159950,171689.257937016
Q2 2023,279763.839171975,250000,270534.318716087,177377.5218509,169950,167693.710520979,122207.737113402,114400,119451.645224244,130208.068459658,125000,129301.366299756,184886.65931426,164950,173917.319188069
Q3 2023,288571.853151397,256000,275586.455022317,184161.128177393,171000,172668.065571644,131177.795755968,120000,124843.560210934,134416.794930876,129725,133249.355070172,195268.10750469,170000,179347.623051826
Q4 2023,282707.290932811,255000,272952.324302437,181448.866745283,173500,172334.65636502,126865.233429395,116100,122774.657325273,133323.101545254,124950,131779.351356604,192822.852859961,170000,177661.113632935
Q1 2024,278584.883445946,250000,272537.101568664,179589.23772242,172500,174047.18813382,127265.961316872,116500,123294.308501193,135111.422222222,125000,133839.975310559,188625.272814601,169950,178621.50777948
Q2 2024,281884.035913807,260000,280908.122809698,178875.360931436,170000,178608.785796246,131645.864041605,120000,129576.894309144,140898.277251185,132250,139286.521110417,189707.994525947,169000,185024.771720264
