Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2518,Databox Maintenance,09/04/2020,0000227748,1125.00,Revenue,Yesplan Ltd,15744
Rushmoor Borough Council,Strategy and Communiations,1415,In-house Training,09/04/2020,0000227750,1439.80,Revenue,Solace Group Ltd,08897
Rushmoor Borough Council,Information Technology,3305,Temporary Staff,09/04/2020,0000227751,836.00,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Control Accounts,9317,Cycle To Work Scheme,16/04/2020,0000227752,524.25,Control Accounts,Cycle Solutions (Cycle To Work) Ltd,14856
Rushmoor Borough Council,Strategy and Communiations,1415,In-house Training,16/04/2020,0000227754,7421.10,Revenue,Solace Group Ltd,08897
Rushmoor Borough Council,Community,2549,Materials,09/04/2020,0000227757,660.00,Revenue,Nixon Hire,15725
Rushmoor Borough Council,Community,2551,Operational Equipment,23/04/2020,0000227759,307.46,Revenue,Viking Direct,01076
Rushmoor Borough Council,Legal,1213,Consultancy,23/04/2020,0000227761,29026.30,Revenue,Lambert Smith Hampton Investment Managem,15431
Rushmoor Borough Council,Legal,1210,Contract Staff,09/04/2020,0000227762,672.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2518,Panto Expenditure,09/04/2020,0000227763,6250.00,Revenue,Hopkins Associates Ltd,00463
Rushmoor Borough Council,Strategy and Communiations,1413,Grants to Enterprise First,16/04/2020,0000227765,6720.00,Revenue,Enterprise First,00155
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,09/04/2020,0000227767,10790.58,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Planning,2609,Consultancy,16/04/2020,0000227768,2934.00,Revenue,Land Use Consultants Ltd,15439
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,16/04/2020,0000227769,1150.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,16/04/2020,0000227770,1050.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Community,2551,General Repairs and Maintenance,16/04/2020,0000227773,386.50,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1202,Counsels Fees,23/04/2020,0000227774,400.00,Revenue,12 Cp Barristers,13792
Rushmoor Borough Council,Community,2551,Operational Equipment,16/04/2020,0000227785,334.72,Revenue,Rowland Brothers Trade Ltd,15818
Rushmoor Borough Council,Legal,1202,Counsels Fees,16/04/2020,0000227786,1618.50,Revenue,Browne Jacobson Llp,15516
Rushmoor Borough Council,Legal,1203,Temporary Staff,16/04/2020,0000227787,450.00,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Temporary Staff,16/04/2020,0000227788,600.00,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1210,Temporary Staff,16/04/2020,0000227788,600.00,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1203,Temporary Staff,16/04/2020,0000227790,275.00,Revenue,The Oyster Partnership Limited,13970
Rushmoor Borough Council,Community,2518,Payment to Artistes,16/04/2020,0000227791,4818.89,Revenue,Jendagi Productions Ltd,15070
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,16/04/2020,0000227792,607.04,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Payment to Contractor,16/04/2020,0000227792,423.97,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,16/04/2020,0000227792,1912.64,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Payment to Contractor,16/04/2020,0000227792,271.34,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Clinical Waste,16/04/2020,0000227792,531.09,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,16/04/2020,0000227792,2509.88,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Anciliary Costs,16/04/2020,0000227793,534.98,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Payment to Contractor,16/04/2020,0000227793,91259.70,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Payment to Contractor,16/04/2020,0000227793,49440.48,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Garden Waste Collection,16/04/2020,0000227793,15003.82,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Anciliary Costs,16/04/2020,0000227793,371.91,Revenue,Serco Ltd,13135
