"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business - Monitoring","EA_DDM","SG5","34879","42955","Officer Operational Services","3.01","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Incident Management and Resilience - Incident Management Resilience","EA_DDIMR","SG6","44477","55631","Team Leader Incident Management and Resilience","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - London - Environment Planning and Engagement - Management","EA_DDLDN","SG7","55819","69471","Manager London","0.88","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Research Analysis and Evaluation - Evidence Analysis and Evaluation","EA_DDRAEEAE","SG7","55819","69471","Manager Environment and Business","4.60","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Water Quality - Chemicals Strategic Planning","EA_DDWQ","SG7","55819","69471","Manager Chemicals Strategic Planning","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Flood and Coastal Risk Management Directorate - Digital and Skills - Knowledge Information Management","EA_DDS","SG5","34879","42955","Advisor Flood and Coastal Risk Management","7.30","Knowledge and Information Management (KIM)"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Future Regulation - Business Planning","EA_DDFR","SG7","55819","69471","Manager Environment and Business","1.00","Planning"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Research Analysis and Evaluation - Evidence Analysis and Evaluation - Statutory Assessment and Reporting","EA_DDRAEEAE","SG6","44477","55631","Team Leader Environment and Business","3.80","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Chief Executives Directorate - Pension Fund Management","EA_DDPF","SG7","55819","69471","Manager Pension Fund Management","0.81","Finance"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Legal","EA_DDLSN","SG4","27572","33869","Officer Legal Services","2.80","Law"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Flood and Coastal Risk Management Directorate - Allocation and Asset Management - Efficiency and Portfolio - Portfolio","EA_DDIDA","SG7","55819","69471","Manager Flood and Coastal Risk Management","4.80","Property and Asset Management"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Flood and Coastal Risk Management","EA_DNSFCRM","SG7","55819","69471","Manager Operational Services","2.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Wessex","EA_DDWSX","SG6","44477","55631","Senior Officer Wessex","2.00","Planning"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Sustainable Business and Development - European Union International Relations and Environment Strategy - Environment Strategy","EA_DDEUIR","SG6","44477","55631","Senior Advisor Environment and Business","2.00","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Incident Management and Resilience - Incident Management Resilience - Incident Improvements","EA_DDFFC","SG7","55819","69471","Manager Incident Management and Resilience","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Flood and Coastal Risk Management Directorate - Strategy and Investment - Risk Assessment and Investment","EA_DDSIRAI","SG6","44477","55631","Not in Post","1.00","Programme and Project Management (PPM)"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Legal","EA_DDLSN","SG6","44477","55631","Not in Post","1.00","Law"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Sustainable Business and Development - Business Strategy and Sustainable Places and Systems - Finance Regulation Systems","EA_DDBSSPS","SG7","55819","69471","Manager Environment and Business","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Yorkshire - Environment Management East - Management","EA_DDYOR","SG7","55819","69471","Manager Environment Management East","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Future Regulation","EA_DDFR","SG6","44477","55631","Not in Post","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Sustainable Business and Development - European Union International Relations and Environment Strategy - Environment Strategy","EA_DDEUIR","SG7","55819","69471","Not in Post","1.00","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Integrated Water Planning - Water Environmental Objective Setting","EA_DDIWP","SG7","55819","69471","Manager Environment and Business","1.00","Science and Engineering"
