ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,06/11/2018,PROPERTY AND HIGHWAYS,F NEEDHAM,06/11/2018,94.64 ,PROPERTY - WORKS ELEMENT,V001318672
ROCHDALE BOROUGH COUNCIL,26/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,NO WORRIES IT LTD,26/11/2018,340.00 ,ACTIVITIES,V001318738
ROCHDALE BOROUGH COUNCIL,26/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,NO WORRIES IT LTD,26/11/2018,282.00 ,ACTIVITIES,V001318739
ROCHDALE BOROUGH COUNCIL,19/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,OTIS LTD,19/11/2018,437.50 ,SPECIFIED MAINTENANCE,V001318792
ROCHDALE BOROUGH COUNCIL,19/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,OTIS LTD,19/11/2018,1773.12 ,SPECIFIED MAINTENANCE,V001318793
ROCHDALE BOROUGH COUNCIL,13/11/2018,RESOURCES,CRESTA WORLD TRAVEL LIMITED,13/11/2018,23.00 ,TRAINING,V001318830
ROCHDALE BOROUGH COUNCIL,19/11/2018,CHILDREN’S SOCIAL CARE,AMTOLL LIMITED,19/11/2018,8.84 ,CONSUMABLES,V001318836
ROCHDALE BOROUGH COUNCIL,19/11/2018,CHILDREN’S SOCIAL CARE,AMTOLL LIMITED,19/11/2018,30.48 ,CLEANING MATERIALS,V001318836
ROCHDALE BOROUGH COUNCIL,01/11/2018,PROPERTY AND HIGHWAYS,INTERSAFETY,01/11/2018,24.25 ,"CLOTHES, UNIFORM AND LAUNDRY",V001318910
ROCHDALE BOROUGH COUNCIL,29/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,THE PROTON GROUP LIMITED,29/11/2018,132.15 ,CLEANING MATERIALS,V001318960
ROCHDALE BOROUGH COUNCIL,19/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,19/11/2018,41.06 ,"CLOTHES, UNIFORM AND LAUNDRY",V001318963
ROCHDALE BOROUGH COUNCIL,19/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE ONLINE LIMITED,19/11/2018,500.00 ,MARKETING EXPENDITURE,V001319061
ROCHDALE BOROUGH COUNCIL,14/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,14/11/2018,67.94 ,TRANSACTIONS-EXPENDITURE,V001319727
ROCHDALE BOROUGH COUNCIL,14/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,14/11/2018,101.91 ,TRANSACTIONS-EXPENDITURE,V001319727
ROCHDALE BOROUGH COUNCIL,14/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,14/11/2018,101.91 ,TRANSACTIONS-EXPENDITURE,V001319727
ROCHDALE BOROUGH COUNCIL,14/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,14/11/2018,101.91 ,TRANSACTIONS-EXPENDITURE,V001319727
ROCHDALE BOROUGH COUNCIL,14/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,14/11/2018,111.52 ,TRANSACTIONS-EXPENDITURE,V001319727
ROCHDALE BOROUGH COUNCIL,01/11/2018,PROPERTY AND HIGHWAYS,ARCO GROUP LIMITED,01/11/2018,60.39 ,"CLOTHES, UNIFORM AND LAUNDRY",V001319740
ROCHDALE BOROUGH COUNCIL,01/11/2018,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,01/11/2018,970.00 ,MINOR BUILDING WORKS,V001319743
ROCHDALE BOROUGH COUNCIL,02/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,MITSUBISHI ELECTRIC EUROPE BV,02/11/2018,1282.84 ,REPAIRS & ALTS OF BUILDINGS,V001319781
ROCHDALE BOROUGH COUNCIL,21/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,21/11/2018,6.70 ,VEHICLE MAINTENANCE,V001319807
ROCHDALE BOROUGH COUNCIL,21/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,21/11/2018,10.49 ,VEHICLE MAINTENANCE,V001319807
ROCHDALE BOROUGH COUNCIL,21/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,21/11/2018,29.40 ,VEHICLE MAINTENANCE,V001319807
ROCHDALE BOROUGH COUNCIL,21/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,21/11/2018,33.20 ,VEHICLE MAINTENANCE,V001319807
ROCHDALE BOROUGH COUNCIL,21/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,21/11/2018,79.38 ,VEHICLE MAINTENANCE,V001319807
ROCHDALE BOROUGH COUNCIL,21/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,21/11/2018,97.29 ,VEHICLE MAINTENANCE,V001319807
ROCHDALE BOROUGH COUNCIL,21/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,21/11/2018,102.12 ,VEHICLE MAINTENANCE,V001319807
ROCHDALE BOROUGH COUNCIL,14/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ARCO GROUP LIMITED,14/11/2018,123.00 ,VEHICLE MAINTENANCE,V001319839
ROCHDALE BOROUGH COUNCIL,09/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,8.39 ,FUEL,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,PROPERTY AND HIGHWAYS,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,12.90 ,FUEL,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,PROPERTY AND HIGHWAYS,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,31.92 ,PERSONAL BUDGETS - MANAGED,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,32.48 ,FUEL,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,33.58 ,FUEL,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,ECONOMY DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,43.33 ,FUEL,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,EARLY HELP AND SCHOOLS,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,43.57 ,FUEL,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,43.57 ,FUEL,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,60.61 ,FUEL,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,CHILDREN’S SOCIAL CARE,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,79.58 ,FUEL,V001319849
ROCHDALE BOROUGH COUNCIL,09/11/2018,CHILDREN’S SOCIAL CARE,ALLSTAR BUSINESS SOLUTIONS LTD,09/11/2018,93.03 ,FUEL,V001319849
