SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_Result_PS_NG,PSPMBAResultMBA1,PSPMBAResultMBA2,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired,SampleNumber2
BTX/2007/2036,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2007-07-30,2007-07-31,Mussels,PS ,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/2036
BTX/2007/2040,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2007-07-31,2007-08-01,Pacific Oysters,ND,,,,,NEGATIVE,<RL,,BTX/2007/2040
BTX/2007/2041,The Solent,B24BD,Isle of Wight Council,SZ59509350,Ryde Sands,2007-07-31,2007-08-01,Razors,,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/2041
BTX/2007/2042,The Solent,B24BB,Isle of Wight Council,SZ59509350,Ryde Sands,2007-07-31,2007-08-01,Cockles,ND,,,,,NEGATIVE,<RL,,BTX/2007/2042
BTX/2007/2043,Newtown,B022E,Isle of Wight Council,SZ42709110,Clamerkin Creek,2007-07-31,2007-08-01,Hard Clams,,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/2043
BTX/2007/2044,Dart,B028F,South Hams DC,SX87415599,Waddeton,2007-07-31,2007-08-01,Mussels,ND,,,,,NEGATIVE,<RL,,BTX/2007/2044
BTX/2007/2045,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2007-07-31,2007-08-01,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/2045
BTX/2007/2046,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2007-07-31,2007-08-01,Native Oysters,ND,,,,Insufficient,,<RL,Flesh sample required,BTX/2007/2046
BTX/2007/2047,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2007-07-31,2007-08-01,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/2047
BTX/2007/2048,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2007-07-31,2007-08-01,Native Oysters,ND,,,,,NEGATIVE,<RL,,BTX/2007/2048
BTX/2007/2052,Three Rivers,B071F,Carmarthenshire CC,SN37500640,Gwendraeth,2007-07-30,2007-08-01,Cockles,ND,,,,,NEGATIVE,<RL,,BTX/2007/2052
BTX/2007/2053,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,2007-07-30,2007-08-01,Cockles,ND,,,,Insufficient,,<RL,Flesh sample required,BTX/2007/2053
BTX/2007/2054,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2007-07-30,2007-08-01,Cockles,ND,,,,,NEGATIVE,<RL,,BTX/2007/2054
BTX/2007/2099,The Thames,B16BW,London PHA,TQ89458478,Corporation Jetty,2007-08-06,2007-08-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2099
BTX/2007/2100,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2007-08-06,2007-08-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2100
BTX/2007/2101,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2007-08-06,2007-08-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2101
BTX/2007/2102,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2007-08-05,2007-08-07,Mussels,NG,,,,,,,,BTX/2007/2102
BTX/2007/2103,Exe,B026E,Teignbridge DC,SX97808090,Pool,2007-08-06,2007-08-07,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2103
BTX/2007/2111,Lymington River,B24AF,New Forest DC,SZ34809375,No 3 Post,2007-08-06,2007-08-07,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/2111
BTX/2007/2112,Blakeney,B006C,North Norfolk DC,TF99004530,Simpool,2007-08-07,2007-08-08,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2112
BTX/2007/2113,Poole,B054P,Poole BC,SY99448968,Hamworthy,2007-08-07,2007-08-08,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2113
BTX/2007/2114,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2007-08-06,2007-08-08,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2114
BTX/2007/2125,Ravenglass,B053B,Copeland DC,SD08509610,Ravenglass,2007-08-07,2007-08-08,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2125
BTX/2007/2126,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2007-08-07,2007-08-08,Native Oysters,PS ,ND,ND,ND,,NEGATIVE,,,BTX/2007/2126
BTX/2007/2127,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2007-08-07,2007-08-08,Mussels,PS,ND,ND,ND,,,,,BTX/2007/2127
BTX/2007/2128,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2007-08-07,2007-08-08,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/2128
BTX/2007/2129,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2007-08-07,2007-08-08,Mussels,PS,ND,ND,ND,,,,,BTX/2007/2129
BTX/2007/2130,Crouch,B015B,Maldon DC,TR00109540,Outer Crouch,2007-08-07,2007-08-09,Native Oysters,NG,,,,,NEGATIVE,,,BTX/2007/2130
BTX/2007/2176,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2007-08-12,2007-08-14,Mussels,NG,,,,,,,,BTX/2007/2176
BTX/2007/2177,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2007-08-12,2007-08-14,Mussels,NG,,,,,,,,BTX/2007/2177
BTX/2007/2178,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2007-08-12,2007-08-14,Cockles,NG,,,,,,,,BTX/2007/2178
