Breed,Sex,UP TO 2 Months, 2 AND 4 Months, 4 AND 8 Months, 8 AND 12 Months, 12 AND 18 Months, 18 AND 24 Months, 24 AND 30 Months, 30 AND 36 Months, 36 AND 42 Months, 42 AND 48 Months,OVER 48 Months,Totals
, M ,0,0,0,0,1,0,0,0,0,0,0,1
SWISS ORIG BRAUNV X, F ,0,0,0,0,0,2,19,11,1,0,6,39
, M ,0,0,0,0,0,2,3,0,1,0,1,7
SWISS ORIG BRAUNVIEH, F ,0,0,0,0,0,1,1,1,0,0,8,11
, M ,0,0,0,0,0,2,1,0,0,0,1,4
TYRONE BLACK, F ,0,0,0,0,0,0,0,0,0,0,1,1
TYRONE BLACK X, F ,0,0,0,0,0,0,0,0,0,0,2,2
, M ,0,0,0,0,0,1,1,0,0,0,0,2
VAYNOL, F ,0,0,0,0,0,0,0,0,0,0,1,1
, M ,0,0,0,0,0,0,1,0,0,0,0,1
WAGYU, F ,0,0,0,0,0,0,1,0,4,1,5,11
, M ,0,0,0,0,0,0,4,7,4,0,0,15
WAGYU CROSS, F ,0,0,0,0,0,0,0,0,0,0,5,5
, M ,0,0,0,0,0,1,8,4,0,0,0,13
WATER BUFFALO, F ,0,0,0,0,3,14,44,6,7,7,87,168
, M ,0,0,0,0,13,85,171,17,13,9,2,310
WELSH BLACK, F ,3,0,0,1,28,252,"1,055",81,93,100,"2,181","3,794"
, M ,3,0,2,5,300,881,"2,877",119,76,47,77,"4,387"
WELSH BLACK X, F ,13,0,0,1,37,289,625,21,31,33,499,"1,549"
, M ,9,0,0,9,217,343,"1,067",38,30,9,8,"1,730"
WELSH WHITE, F ,0,0,0,0,0,0,0,0,0,1,12,13
, M ,0,0,0,0,0,3,9,0,1,0,0,13
WELSH WHITE X, F ,0,0,0,0,0,2,0,0,0,0,2,4
, M ,0,0,0,0,0,1,5,0,0,0,0,6
WHITE GALLOWAY, F ,0,0,0,0,0,3,13,0,0,0,24,40
, M ,0,0,0,0,1,6,56,4,5,2,3,77
WHITE GALLOWAY X, F ,0,0,0,0,0,0,5,0,0,0,2,7
, M ,0,0,0,0,0,1,2,0,0,0,0,3
WHITE PARK, F ,0,0,0,0,0,2,28,4,2,3,59,98
, M ,0,0,0,0,6,22,108,41,26,4,20,227
WHITE PARK X, F ,0,0,0,0,0,1,14,2,6,3,13,39
, M ,0,0,0,0,3,10,26,6,10,2,5,62
WHITEBRED S/HORN X, F ,0,0,0,0,2,15,19,5,7,10,230,288
, M ,0,0,0,1,11,109,485,8,9,1,6,630
WHITEBRED SHORTHORN, F ,0,0,0,0,0,1,8,0,1,1,15,26
, M ,0,0,0,0,2,12,20,1,1,2,8,46
YAK, F ,0,0,0,0,0,0,0,0,0,0,1,1
, M ,0,0,0,0,0,0,1,0,0,0,0,1
Totals,0,"39,859","1,808","2,854","12,697","304,883","575,645","836,412","40,749","31,545","26,440","397,508","2,270,400"
