OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,195356,269613,168027,134951,93770
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,238693,297243,203216,160769,108653
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,188530,304515,205982,158194,116163
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,270587,330475,223563,183358,117119
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,243857,304052,207567,167269,98791
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,276205,391211,251572,202273,128217
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,219437,290965,187258,151646,108080
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,238536,318341,211435,168797,114259
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,198695,274376,170796,137200,94957
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,235273,293156,200126,158419,106708
