Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Wales,Wales,Clwyd,Non Dairy,CHAROLAIS X,F,Birth Application,86
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,CHAROLAIS X,M,Birth Application,27
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,CHAROLAIS X,F,Birth Application,20
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,CHAROLAIS X,F,Birth Application,15
2015,January  ,Wales,Wales,Powys,Non Dairy,CHILLINGHAM X,F,Birth Application,1
2015,January  ,Wales,Wales,Clwyd,Dairy,CROSS BREED DAIRY,M,Birth Application,3
2015,January  ,Wales,Wales,Dyfed,Dairy,CROSS BREED DAIRY,M,Birth Application,17
2015,January  ,Wales,Wales,Powys,Dairy,CROSS BREED DAIRY,F,Birth Application,3
2015,January  ,Wales,Wales,Gwent,Dairy,CROSS BREED DAIRY,F,Birth Application,7
2015,January  ,Wales,Wales,Clwyd,Dairy,CROSS BREED DAIRY,F,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Dairy,CROSS BREED DAIRY,F,Birth Application,36
2015,January  ,Wales,Wales,Powys,Dairy,CROSS BREED DAIRY,M,Birth Application,2
2015,January  ,Wales,Wales,Gwynedd,Dairy,CROSS BREED DAIRY,F,Birth Application,10
2015,January  ,Wales,Wales,Powys,Dairy,DAIRY SHORTHORN,F,Birth Application,2
2015,January  ,Wales,Wales,Clwyd,Dairy,DAIRY SHORTHORN,F,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Dairy,DAIRY SHORTHORN,M,Birth Application,5
2015,January  ,Wales,Wales,South Glamorgan,Dairy,DAIRY SHORTHORN,F,Birth Application,1
2015,January  ,Wales,Wales,Powys,Dairy,DAIRY SHORTHORN,M,Birth Application,5
2015,January  ,Wales,Wales,Dyfed,Dairy,DAIRY SHORTHORN,F,Birth Application,4
2015,January  ,Wales,Wales,Powys,Dairy,DAIRY SHORTHORN X,F,Birth Application,3
2015,January  ,Wales,Wales,Dyfed,Dairy,DAIRY SHORTHORN X,F,Birth Application,6
2015,January  ,Wales,Wales,Dyfed,Dairy,DAIRY SHORTHORN X,M,Birth Application,6
2015,January  ,Wales,Wales,Powys,Non Dairy,DANISH RED,M,Birth Application,1
2015,January  ,Wales,Wales,Powys,Non Dairy,DEVON,M,Birth Application,2
2015,January  ,Wales,Wales,Clwyd,Non Dairy,DEVON,F,Birth Application,2
2015,January  ,Wales,Wales,Powys,Non Dairy,DEVON,F,Birth Application,1
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,DEVON,M,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Non Dairy,DEVON X,F,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Non Dairy,DEVON X,M,Birth Application,1
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,DEXTER,M,Birth Application,1
2015,January  ,Wales,Wales,Powys,Non Dairy,DEXTER,F,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Non Dairy,DEXTER,F,Birth Application,5
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,DEXTER,F,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Non Dairy,DEXTER,M,Birth Application,6
2015,January  ,Wales,Wales,Powys,Non Dairy,DEXTER,M,Birth Application,2
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,DEXTER,M,Birth Application,2
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,DEXTER,F,Birth Application,1
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,DEXTER,M,Birth Application,3
2015,January  ,Wales,Wales,Clwyd,Dairy,FLECKVIEH,M,Birth Application,1
2015,January  ,Wales,Wales,Gwynedd,Dairy,FLECKVIEH CROSS,M,Birth Application,4
2015,January  ,Wales,Wales,Clwyd,Dairy,FLECKVIEH CROSS,F,Birth Application,3
2015,January  ,Wales,Wales,Gwynedd,Dairy,FLECKVIEH CROSS,F,Birth Application,4
2015,January  ,Wales,Wales,Gwent,Non Dairy,GALLOWAY,M,Birth Application,1
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,GELBVIEH,M,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Dairy,GUERNSEY,M,Birth Application,5
2015,January  ,Wales,Wales,Dyfed,Dairy,GUERNSEY,F,Birth Application,5
2015,January  ,Wales,Wales,Dyfed,Dairy,GUERNSEY X,F,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Dairy,GUERNSEY X,M,Birth Application,1
