Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip (specific),Mode of transport,Class of travel,Accommodation / Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Melinda Johnson,01/08/18,1,Grantham - London,DHSC Commercial Meetings & DWP Meetings ,Rail ,Standard ,,,£200.50,
Melinda Johnson,02/08/18,1,Grantham - London,DHSC Commercial  & ALB SCSG Meetings ,Rail ,Standard ,,,£141.50,
Melinda Johnson,06/08/18,1,Grantham - London,GCF / CO ADS Assessement Day,Rail ,Standard ,,,£149.00,
Melinda Johnson,08/08/18,1,Grantham - Runcorn,DHSC Commercial Runcorn VisitT & Meetings,Rail ,Standard ,,,£111.50,
Melinda Johnson,13/08/18,1,Grantham - London,DHSC Commercial Meetings & PBL Board Meeting / Visit,Rail ,Standard ,,,£141.50,
Melinda Johnson,14/08/18,1,Grantham - Reading,GCO Meetings & DHSC COMMERICAL READING VISIT ,Rail ,Standard ,,,£192.80,
Melinda Johnson,20/08/18,1,Grantham - London,DHSC Commercial & SoFs Meetings,Rail ,Standard ,Y,,£163.60,
Melinda Johnson,21/08/18,1,London - Grantham,DHSC Commercial Meetings ,Rail ,Standard ,,,£55.20,
Melinda Johnson,22/08/18,1,Grantham - London,DHSC Commercial Meetings & CIPS Event,Rail ,Standard ,,,£141.50,
Melinda Johnson,30/08/18,1,Grantham - London,DHSC Commercial Meetings ,Rail ,Standard ,,,£12.50,
Melinda Johnson,03/09/18,1,Grantham - Oxford,"Prog for Project Leaders  Cohort 1, Masterclass 1 ",Rail ,Standard ,,,£523.70,
Melinda Johnson,10/09/18,1,Grantham - London,DHSC Commercial & ALB Meetings ,Rail ,Standard ,,,£144.50,
Melinda Johnson,11/09/18,1,Grantham to Newcastle,DHSC Commercial & ALB Meetings ,Rail ,Standard ,Y,,£144.50,
Melinda Johnson,12/09/18,1,Leeds to Newcastle,DHSC Commercial & ALB Meetings ,Rail ,Standard ,,,£151.20,
Melinda Johnson,13/09/18,1,Newacstle to Grantham,DHSC Commercial & Permenant Secretary Meetings ,Rail ,Standard ,,,£107.00,
Melinda Johnson,14/09/18,1,Grantham - London,DHSC Commercial & ALB Meetings ,Rail ,Standard ,,,£53.00,
Melinda Johnson,18/09/18,1,Grantham - London,DHSC COMMERCIAL Meetings ,Rail ,Standard ,,,£144.50,
Melinda Johnson,19/09/18,1,Grantham - London,DHSC COMMERCIAL / FCO / SCCL MEETINGS ,Rail ,Standard ,,,£137.50,
Melinda Johnson,24/09/18,1,Grantham - Redhill,"Leadership Workshop HPDS Cohort 12, Betworth",Rail ,Standard ,,,£13.60,
Melinda Johnson,25/09/18,1,Redhill - London,"Leadership Workshop HPDS Cohort 12, Betworth",Rail ,Standard ,,,£11.10,
Melinda Johnson,27/09/18,1,Grantham - London,DHSC Commercial / CO & NHSP  MEETINGS ,Rail ,Standard ,,,£239.05,
Robert Tinline,17/09/18,1,Cheltenham,HMG meetings,Rail ,Standard,,,£86.80,
Tristan Pedelty,25/09/18,1,London - Edinburgh,Conference Attendance - Lord Holmes Workshop,Rail / Flight,Standard  /  Economy,,,£201.24,
