Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,April    ,Scotland,Scotland,Lanark,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,331
2015,April    ,Scotland,Scotland,Ross and Cromarty,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,172
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,442
2015,April    ,Scotland,Scotland,Kirkcudbright,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,544
2015,April    ,Scotland,Scotland,Sutherland,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,33
2015,April    ,Scotland,Scotland,Renfrew,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,81
2015,April    ,Scotland,Scotland,Stirling,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,62
2015,April    ,Scotland,Scotland,Wigtown,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,733
2015,April    ,Scotland,Scotland,Dunbarton,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,50
2015,April    ,Scotland,Scotland,Clackmannan,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,4
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,406
2015,April    ,Scotland,Scotland,Moray,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,96
2015,April    ,Scotland,Scotland,Shetland,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,30
2015,April    ,Scotland,Scotland,Argyll,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,279
2015,April    ,Scotland,Scotland,Perth,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,375
2015,April    ,Scotland,Scotland,Roxburgh,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,763
2015,April    ,Scotland,Scotland,Moray,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,87
