ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,01/12/2023,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,01/12/2023,15.11 ,CONSUMABLES,V002126297,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,01/12/2023,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,01/12/2023,8.62 ,CONSUMABLES,V002126297,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,01/12/2023,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,01/12/2023,11.99 ,CONSUMABLES,V002126297,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,01/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,YORKSHIRE PURCHASING ORGANISATION,01/12/2023,1839.20 ,EQUIPMENT - GENERAL,V002126434,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,-244.08 ,DIRECT PAYMENTS,V002130438,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,-253.12 ,DIRECT PAYMENTS,V002130439,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,-253.12 ,DIRECT PAYMENTS,V002130440,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,-253.12 ,DIRECT PAYMENTS,V002130441,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,-253.12 ,DIRECT PAYMENTS,V002130442,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,-253.12 ,DIRECT PAYMENTS,V002130443,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,244.08 ,CLIENTS CONTRIBUTIONS COMMUNITY CARE,V002130444,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,253.12 ,CLIENTS CONTRIBUTIONS COMMUNITY CARE,V002130445,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,253.12 ,CLIENTS CONTRIBUTIONS COMMUNITY CARE,V002130446,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,253.12 ,CLIENTS CONTRIBUTIONS COMMUNITY CARE,V002130447,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,253.12 ,CLIENTS CONTRIBUTIONS COMMUNITY CARE,V002130448,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,15/12/2023,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,15/12/2023,253.12 ,CLIENTS CONTRIBUTIONS COMMUNITY CARE,V002130449,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,20/12/2023,PROPERTY AND HIGHWAYS,ROYAL MAIL GROUP LTD,20/12/2023,251.73 ,POSTAGE,V002130705,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,20/12/2023,ECONOMY DIRECTORATE,ASHDOWN PHILLIPS AND PARTNERS,20/12/2023,450.00 ,RENTS,V002130920,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,ADULT CARE LCO FUNCTIONS,ROYAL MAIL GROUP LTD,13/12/2023,51.68 ,POSTAGE,V002131078,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,07/12/2023,ECONOMY DIRECTORATE,BANNER GROUP LIMITED,07/12/2023,10.10 ,STATIONERY,V002131120,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,04/12/2023,EARLY HELP AND SCHOOLS,BLUEPRINT GB LTD,04/12/2023,35.00 ,PRINTING & STATIONERY,V002131196,,,,,,,,,
