Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,CatchmentName,CatchmentCode,Year 
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,8162430,2023
8162018,8162018,8163403,8162430,,,Clifton Green Primary School,8162018,2023
8162431,8162227,,,,,Badger Hill Primary School,8162431,2023
8162012,8162012,8162004,,,,Park Grove Primary Academy,8162012,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162020,8162020,,,,,St Lawrence's CE Primary School,8162020,2023
8163156,8163156,8163402,8162008,,,St Oswald's CE Primary School,8163156,2023
8162028,8162028,8162017,8162007,8162000,,Hob Moor Community Primary School,8162028,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162028,8162028,8162000,,,,Acomb Primary School,8162000,2023
8162004,8162004,,,,,Haxby Road Primary Academy,8162004,2023
8162176,8162176,8162431,,,,Badger Hill Primary School,8162431,2023
8162013,8162013,,,,,Copmanthorpe Primary School,8162013,2023
8162007,8162007,8162014,8162028,8162027,8162017,Hob Moor Community Primary School,8162028,2023
8162012,8162012,8162429,8162004,,,Tang Hall Primary School,8162429,2023
8162176,8162176,8163302,8162431,,,Osbaldwick Primary School,8162176,2023
8162014,8162000,8162003,8162014,8162028,,Hob Moor Community Primary School,8162028,2023
8162429,8162429,,,,,Tang Hall Primary School,8162429,2023
8162017,8162003,,,,,Poppleton Ousebank Primary School,8162029,2023
8162018,8162018,8162430,,,,Burton Green Primary School,8162024,2023
8163152,8163152,8163380,8163151,,,Wheldrake with Thorganby CE Primary School,8163380,2023
8162021,8162021,,,,,New Earswick Primary School,8163901,2023
8162021,8162021,,,,,New Earswick Primary School,8162021,2023
8162018,8162018,,,,,Burton Green Primary School,8162024,2023
8162021,8162021,8162004,8162180,,,New Earswick Primary School,8163901,2023
8162021,8162021,8162004,8162180,,,New Earswick Primary School,8162021,2023
8162058,8162058,,,,,Headlands Primary School,8162241,2023
8162014,8155200,,,,,Poppleton Ousebank Primary School,8162029,2023
8162011,8162011,8162020,8162008,8163156,8162012,Fishergate Primary School,8162008,2023
8162428,8162428,8162169,8162029,,,Lakeside Primary School,8162428,2023
8162429,8162429,,,,,Tang Hall Primary School,8162429,2023
8162241,8162241,8162058,8162240,,,Headlands Primary School,8162241,2023
8162011,8162011,,,,,Clifton Green Primary School,8162018,2023
8162011,8162011,8162007,8162027,,,Woodthorpe Primary School,8162027,2023
8162004,8162004,,,,,Haxby Road Primary Academy,8162004,2023
